Timestamp,COx,NOx,Benzene,Solar Voltage
12:02:13,0.56,51,82,5.1
12:03:13,0.48,52,83,5
12:05:13,0.56,53,82,5.1
12:05:33,0.56,53,83,5.1
12:05:53,0.56,53,83,5.1
12:06:33,0.56,53,83,5.1
12:06:53,0.56,53,83,5.1
12:09:14,0.56,53,83,5.1
12:10:14,0.56,54,82,5.1
12:15:54,0.56,54,84,5.1
12:17:14,0.56,54,85,5.1
12:17:34,0.64,54,86,5.3
12:17:54,0.56,54,86,5.1
12:20:14,0.56,55,84,5.1
12:24:34,0.48,52,76,5
12:25:14,0.48,52,75,5
12:25:34,0.56,52,75,5.3
12:25:54,0.48,52,75,5
12:27:14,0.48,52,75,5.3
12:30:34,0.48,51,75,5.3
12:34:54,0.48,51,75,5.3
12:35:14,0.48,51,75,5.3
12:35:34,0.48,51,75,5.3
12:36:54,0.48,51,75,5.3
12:37:35,0.48,51,75,5.3
12:38:35,0.48,51,75,5.3
12:39:15,0.48,51,75,5.3
12:43:15,0.48,51,75,5.3
12:44:15,0.56,52,75,5
12:45:15,0.56,53,77,5
12:45:35,0.56,53,76,5
12:47:35,0.56,52,76,5
12:47:55,0.64,53,77,5.15
12:48:55,0.64,54,78,5.15
12:49:15,0.64,54,79,5.15
12:49:35,0.64,54,79,5.15
12:51:35,0.64,54,77,5.15
12:52:35,0.74,54,80,5.2
14:59:43,0.56,49,86,5
15:00:03,0.56,49,86,5
15:00:43,0.48,49,85,5
15:02:04,0.48,49,84,5
15:02:24,0.48,49,84,5
15:03:04,0.48,49,84,5
15:05:04,0.48,49,83,5
15:05:24,0.48,49,84,5
15:06:24,0.56,49,84,5
15:06:44,0.48,49,85,5
15:07:24,0.48,49,85,5
15:09:04,0.56,49,86,5
15:09:44,0.56,49,87,5
15:10:44,0.48,50,86,5
15:11:04,0.48,49,85,5
15:12:24,0.48,49,86,5
15:13:24,0.48,49,85,5
15:13:44,0.48,49,86,5
15:15:44,0.48,50,85,5
15:17:44,0.48,50,85,5
15:18:44,0.56,50,85,5
15:19:24,0.56,50,85,5
15:19:44,0.56,50,85,5
15:20:04,0.48,50,85,5
15:20:24,0.56,50,84,5
15:20:44,0.56,50,85,5
15:21:04,0.56,50,84,5
15:22:04,0.56,50,84,5
15:22:44,0.48,50,83,5
15:24:04,0.48,50,82,5
15:28:04,0.48,50,83,5
15:28:24,0.48,50,83,5
15:29:24,0.56,50,82,5
15:30:25,0.48,50,82,5
15:32:05,0.56,50,81,5
15:34:05,0.56,51,81,5
15:36:05,0.48,50,79,5
15:36:45,0.56,50,80,5
15:38:45,0.48,50,79,5
15:41:45,0.56,50,81,5
15:42:05,0.56,50,80,5
15:45:05,0.56,51,80,5
15:45:25,0.56,51,81,5
15:46:05,0.56,51,80,5
15:46:25,0.56,51,80,5
15:47:25,0.56,51,81,5
15:48:05,0.56,51,81,5
15:48:45,0.56,51,82,5
15:49:25,0.56,51,83,5
15:53:45,0.64,52,77,5
15:55:25,0.64,52,75,5
